place,osm_type,Latitude,Longitude,
hamlet,nodes,20.953562,-75.810192,12/16/2016
hamlet,nodes,20.9587426,-75.8195272,12/16/2016
hamlet,nodes,20.9480025,-75.8245858,12/16/2016
hamlet,nodes,20.9371335,-75.8791734,12/16/2016
hamlet,nodes,20.9135142,-75.8690878,12/16/2016
hamlet,nodes,20.9121277,-75.8345631,12/16/2016
hamlet,nodes,20.9228625,-75.6750553,12/16/2016
hamlet,nodes,20.920878,-75.9905649,12/16/2016
hamlet,nodes,20.913542,-76.2085319,12/16/2016
hamlet,nodes,20.9695617,-76.0312299,12/16/2016
hamlet,nodes,21.0128132,-76.0351206,12/16/2016
hamlet,nodes,21.0117056,-76.0035682,12/16/2016
hamlet,nodes,21.0132868,-76.0218842,12/16/2016
hamlet,nodes,21.0282597,-76.0302663,12/16/2016
hamlet,nodes,21.0383667,-76.0255788,12/16/2016
hamlet,nodes,20.931327,-75.9630539,12/16/2016
hamlet,nodes,20.9537109,-75.9101747,12/16/2016
hamlet,nodes,20.7308489,-75.5658197,12/16/2016
hamlet,nodes,20.6607944,-75.5840023,12/16/2016
hamlet,nodes,20.7284151,-75.4677244,12/16/2016
hamlet,nodes,20.7235057,-75.4396734,12/16/2016
hamlet,nodes,20.7335405,-75.3957286,12/16/2016
hamlet,nodes,20.7139467,-75.3796956,12/16/2016
hamlet,nodes,20.6985217,-75.4249301,12/16/2016
hamlet,nodes,20.6997363,-75.3963961,12/16/2016
hamlet,nodes,20.7099974,-75.3249639,12/16/2016
hamlet,nodes,20.6779348,-75.3368144,12/16/2016
hamlet,nodes,20.6715724,-75.3552775,12/16/2016
hamlet,nodes,20.6459937,-75.3288516,12/16/2016
hamlet,nodes,20.9248062,-76.9635451,12/16/2016
hamlet,nodes,20.9350214,-76.9237184,12/16/2016
hamlet,nodes,20.9305459,-76.9142366,12/16/2016
hamlet,nodes,20.9269716,-77.4543821,12/16/2016
hamlet,nodes,20.9081615,-77.442297,12/16/2016
hamlet,nodes,20.904296,-77.448646,12/16/2016
hamlet,nodes,20.9005911,-77.364863,12/16/2016
hamlet,nodes,20.9202222,-77.3443001,12/16/2016
hamlet,nodes,20.9214128,-77.3546388,12/16/2016
hamlet,nodes,20.9365064,-77.3383402,12/16/2016
hamlet,nodes,20.930697,-77.3318569,12/16/2016
hamlet,nodes,20.9149809,-77.3290491,12/16/2016
hamlet,nodes,20.9293292,-76.9298736,12/16/2016
city,nodes,20.6559593,-74.9430494,12/16/2016
hamlet,nodes,20.6289989,-74.9215865,12/16/2016
hamlet,nodes,20.3977019,-76.0159516,12/16/2016
hamlet,nodes,20.5115749,-76.0473952,12/16/2016
hamlet,nodes,20.411008,-75.9969079,12/16/2016
hamlet,nodes,20.4567595,-76.0566397,12/16/2016
hamlet,nodes,20.485507,-76.1183721,12/16/2016
hamlet,nodes,20.4991129,-76.1162257,12/16/2016
hamlet,nodes,20.4965856,-76.223301,12/16/2016
hamlet,nodes,20.4929543,-76.224803,12/16/2016
hamlet,nodes,20.5235263,-76.2143583,12/16/2016
hamlet,nodes,20.4175898,-75.9373485,12/16/2016
hamlet,nodes,20.4233612,-75.9579079,12/16/2016
hamlet,nodes,20.5612578,-75.9543228,12/16/2016
hamlet,nodes,20.5303551,-75.9628201,12/16/2016
hamlet,nodes,20.490714,-75.944795,12/16/2016
hamlet,nodes,20.6633609,-75.611136,12/16/2016
hamlet,nodes,20.6608757,-75.6582001,12/16/2016
hamlet,nodes,20.657875,-75.6470949,12/16/2016
hamlet,nodes,20.6535508,-75.63566,12/16/2016
hamlet,nodes,20.6409585,-75.6469932,12/16/2016
hamlet,nodes,20.6877811,-75.6450169,12/16/2016
hamlet,nodes,20.6889654,-75.63991,12/16/2016
hamlet,nodes,20.6564022,-75.5649817,12/16/2016
hamlet,nodes,20.6622909,-75.5744362,12/16/2016
hamlet,nodes,20.6255672,-75.6598531,12/16/2016
hamlet,nodes,20.6156039,-75.6624143,12/16/2016
hamlet,nodes,20.4930445,-75.619272,12/16/2016
hamlet,nodes,20.4580446,-75.5841045,12/16/2016
hamlet,nodes,20.4393104,-75.5729219,12/16/2016
hamlet,nodes,20.4288834,-75.5783516,12/16/2016
hamlet,nodes,20.4116157,-75.6511503,12/16/2016
hamlet,nodes,20.4006284,-75.6259453,12/16/2016
hamlet,nodes,20.4052991,-75.7341803,12/16/2016
hamlet,nodes,20.4081549,-75.7386113,12/16/2016
hamlet,nodes,20.4133836,-75.7374097,12/16/2016
hamlet,nodes,20.4096581,-75.709622,12/16/2016
hamlet,nodes,20.4495424,-75.706178,12/16/2016
hamlet,nodes,20.4537144,-75.6801313,12/16/2016
hamlet,nodes,20.4907331,-75.6625843,12/16/2016
hamlet,nodes,20.4849824,-75.6834265,12/16/2016
hamlet,nodes,20.3623566,-75.6260182,12/16/2016
hamlet,nodes,20.3876533,-75.5450215,12/16/2016
hamlet,nodes,20.4222911,-75.5684065,12/16/2016
hamlet,nodes,20.3447719,-76.4316144,12/16/2016
hamlet,nodes,20.3519398,-76.4147908,12/16/2016
hamlet,nodes,20.3478267,-76.3991065,12/16/2016
hamlet,nodes,20.3369404,-76.3891055,12/16/2016
hamlet,nodes,20.3389877,-76.4125105,12/16/2016
hamlet,nodes,20.3184246,-76.3684452,12/16/2016
hamlet,nodes,20.3532226,-76.3540149,12/16/2016
hamlet,nodes,20.357926,-76.4369401,12/16/2016
hamlet,nodes,20.0898038,-76.7584013,12/16/2016
hamlet,nodes,20.1153637,-76.7555182,12/16/2016
hamlet,nodes,20.1563574,-76.7507804,12/16/2016
hamlet,nodes,20.1635085,-76.7597087,12/16/2016
hamlet,nodes,20.1484001,-76.7522768,12/16/2016
hamlet,nodes,20.1400959,-76.7500642,12/16/2016
hamlet,nodes,20.1378437,-76.7339197,12/16/2016
hamlet,nodes,20.1543566,-76.7318581,12/16/2016
hamlet,nodes,20.1595477,-76.7431337,12/16/2016
hamlet,nodes,20.1010273,-76.7317018,12/16/2016
hamlet,nodes,20.1015908,-76.7157799,12/16/2016
hamlet,nodes,20.0514232,-76.6860645,12/16/2016
hamlet,nodes,20.2858693,-76.8235489,12/16/2016
hamlet,nodes,20.1342741,-76.7636119,12/16/2016
hamlet,nodes,20.1406162,-76.7571438,12/16/2016
hamlet,nodes,20.1485465,-76.7308183,12/16/2016
hamlet,nodes,20.1802293,-76.7257091,12/16/2016
hamlet,nodes,20.1947086,-77.0364839,12/16/2016
hamlet,nodes,20.1686833,-77.0342019,12/16/2016
hamlet,nodes,20.150923,-77.0415219,12/16/2016
hamlet,nodes,20.05737,-77.1245022,12/16/2016
hamlet,nodes,20.0431447,-77.1198484,12/16/2016
hamlet,nodes,20.0366137,-77.1143554,12/16/2016
hamlet,nodes,20.0333044,-77.1178656,12/16/2016
hamlet,nodes,20.0301494,-77.1090685,12/16/2016
